20,20
R1, , ,R1, , , , , , , , , , , , , , , , 
 , ,C1, ,C1, , , , , , , , , , , , , , , 
 , ,T, , , , , , , , , , , , , , , , , 
 , , ,T, , , , , , , , , , , , , , , , 
 , , , ,T, , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , ,J, , , , , , , , , , , , , 
 , , , , , , ,J, , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
